stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	4	snapshot.log
toolchain	0	11	toolchain.log
frozen-install	0	19	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	18	deploy-guards.log
version-guards	0	5	version-guards.log
local-ci-guards	1	16	local-ci-guards.log
