stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	2	snapshot.log
toolchain	0	2	toolchain.log
frozen-install	0	20	frozen-install.log
acceptance-layout	0	1	acceptance-layout.log
deploy-guards	0	11	deploy-guards.log
version-guards	0	4	version-guards.log
local-ci-guards	0	27	local-ci-guards.log
commerce-parity-guards	1	8	commerce-parity-guards.log
