stage	exit_code	seconds	log
source-preflight	0	0	source-preflight.log
snapshot	0	8	snapshot.log
toolchain	0	4	toolchain.log
frozen-install	0	20	frozen-install.log
acceptance-layout	0	0	acceptance-layout.log
deploy-guards	0	15	deploy-guards.log
version-guards	0	4	version-guards.log
local-ci-guards	0	18	local-ci-guards.log
commerce-parity-guards	0	6	commerce-parity-guards.log
backend-unit	0	723	backend-unit.log
backend-integration	0	471	backend-integration.log
backend-lint	1	483	backend-lint.log
